"Year,""Lg"",""Rd"",""Pk"",""Tm"",""Player"",""Pos"",""College"",""From"",""To"",""G"",""MP"",""PTS"",""TRB"",""AST"",""STL"",""BLK"",""FG%"",""2P%"",""3P%"",""FT%"",""WS"",""WS/48"""
"2006,""NBA"",1,18,""WAS"",""Oleksiy Pecherov"",""C"","""",2008,2010,111,9.4,3.9,2.4,0.2,0.2,0.2,0.386,0.444,0.29,0.793,0.5,0.025"
"2006,""NBA"",2,34,""LAC"",""Paul Davis"",""C"",""Michigan State University"",2007,2010,82,8.6,2.6,1.9,0.4,0.3,0.2,0.402,0.404,0,0.732,0.5,0.035"
"2008,""NBA"",1,8,""MIL"",""Joe Alexander"",""F"",""West Virginia University"",2009,2010,67,11.1,4.2,1.8,0.7,0.2,0.4,0.41,0.426,0.34,0.698,0.5,0.03"
"2010,""NBA"",2,32,""MIA"",""Dexter Pittman"",""C"",""University of Texas at Austin"",2011,2014,50,6.9,2.3,1.8,0.2,0.2,0.2,0.45,0.45,"""",0.545,0.5,0.068"
"2010,""NBA"",2,43,""LAL"",""Devin Ebanks"",""F"",""West Virginia University"",2011,2013,63,11.3,3.6,1.9,0.4,0.3,0.2,0.385,0.418,0.222,0.722,0.5,0.035"
"2011,""NBA"",2,44,""GSW"",""Charles Jenkins"",""G"",""Hofstra University"",2012,2013,110,12.1,3.7,0.9,1.9,0.4,0.1,0.434,0.449,0.182,0.754,0.5,0.017"
"2011,""NBA"",2,52,""DET"",""Vernon Macklin"",""F"",""University of Florida"",2012,2012,23,5.9,2,1.5,0.2,0.2,0.2,0.543,0.543,"""",0.571,0.5,0.161"
"2013,""NBA"",1,1,""CLE"",""Anthony Bennett"",""F"",""University of Nevada Las Vegas"",2014,2017,151,12.6,4.4,3.1,0.5,0.4,0.2,0.392,0.427,0.261,0.67,0.5,0.013"
"2015,""NBA"",2,33,""BOS"",""Jordan Mickey"",""F"",""Louisiana State University"",2016,2018,64,7.5,2.4,2,0.3,0.1,0.4,0.449,0.496,0.118,0.605,0.5,0.05"
"2015,""NBA"",2,36,""MIN"",""Rakeem Christmas"",""F"",""Syracuse University"",2016,2017,30,7.5,2.1,1.9,0.1,0.1,0.2,0.467,0.467,"""",0.724,0.5,0.105"
"2016,""NBA"",2,34,""PHO"",""Tyler Ulis"",""G"",""University of Kentucky"",2017,2019,133,20.9,7.5,1.7,4,0.9,0.1,0.403,0.439,0.28,0.808,0.5,0.008"
"2016,""NBA"",2,60,""UTA"",""Tyrone Wallace"",""G"",""University of California"",2018,2019,92,16.1,5.5,2.2,1.2,0.5,0.2,0.435,0.464,0.237,0.674,0.5,0.015"
"2017,""NBA"",1,1,""PHI"",""Markelle Fultz"",""G"",""University of Washington"",2018,2019,33,20.6,7.7,3.4,3.4,0.9,0.3,0.414,0.422,0.267,0.534,0.5,0.038"
"2017,""NBA"",2,43,""HOU"",""Isaiah Hartenstein"",""F"","""",2019,2019,28,7.9,1.9,1.7,0.5,0.3,0.4,0.488,0.514,0.333,0.786,0.5,0.101"
"2018,""NBA"",2,34,""ATL"",""Devonte' Graham"",""G"",""University of Kansas"",2019,2019,46,14.7,4.7,1.4,2.6,0.5,0,0.343,0.421,0.281,0.761,0.5,0.035"
"2006,""NBA"",2,39,""MIL"",""David Noel"",""F"",""University of North Carolina"",2007,2007,68,11.6,2.7,1.8,1,0.4,0.1,0.367,0.387,0.321,0.86,0.4,0.024"
"2007,""NBA"",1,29,""PHO"",""Alando Tucker"",""F"",""University of Wisconsin"",2008,2010,51,8.4,4.1,1,0.3,0.1,0,0.423,0.453,0.294,0.783,0.4,0.045"
"2007,""NBA"",2,32,""BOS"",""Gabe Pruitt"",""G"",""University of Southern California"",2008,2009,62,7.4,2,0.8,0.8,0.3,0,0.321,0.35,0.283,0.783,0.4,0.043"
"2011,""NBA"",2,43,""CHI"",""Malcolm Lee"",""G"",""University of California Los Angeles"",2012,2015,36,14.8,3.9,1.8,1.4,0.6,0.3,0.382,0.412,0.294,0.703,0.4,0.04"
"2014,""NBA"",1,22,""MEM"",""Jordan Adams"",""G"",""University of California Los Angeles"",2015,2016,32,8.2,3.2,0.9,0.6,0.6,0.2,0.402,0.409,0.385,0.607,0.4,0.07"
"2015,""NBA"",1,28,""BOS"",""R.J. Hunter"",""G"",""Georgia State University"",2016,2019,45,8.8,3,1,0.4,0.4,0.1,0.371,0.523,0.295,0.818,0.4,0.051"
"2015,""NBA"",2,43,""IND"",""Joe Young"",""G"",""University of Oregon"",2016,2018,127,8.5,3.4,1,0.9,0.3,0,0.393,0.438,0.296,0.768,0.4,0.016"
"2016,""NBA"",1,13,""PHO"",""Georgios Papagiannis"",""C"","""",2017,2018,39,12.2,4.1,3.2,0.7,0.2,0.6,0.514,0.521,0,0.857,0.4,0.044"
"2017,""NBA"",2,31,""CHO"",""Frank Jackson"",""G"",""Duke University"",2019,2019,61,19.2,8.1,2.2,1.1,0.4,0,0.434,0.507,0.314,0.74,0.4,0.018"
"2000,""NBA"",2,31,""DAL"",""Dan Langhi"",""F"",""Vanderbilt University"",2001,2004,133,9.4,3,1.5,0.3,0.2,0.1,0.391,0.4,0.289,0.613,0.3,0.012"
"2000,""NBA"",2,32,""CHI"",""A.J. Guyton"",""G"",""Indiana University"",2001,2003,80,15.6,5.5,1,1.8,0.3,0.2,0.377,0.377,0.378,0.822,0.3,0.01"
"2000,""NBA"",2,36,""NJN"",""Soumaila Samake"",""C"","""",2001,2003,47,6.4,1.4,1.6,0.1,0,0.4,0.389,0.389,"""",0.462,0.3,0.046"
"2006,""NBA"",1,10,""SEA"",""Mouhamed Sene"",""C-F"","""",2007,2009,47,5.5,2.2,1.6,0,0.1,0.5,0.427,0.427,"""",0.589,0.3,0.052"
"2006,""NBA"",2,41,""ORL"",""James Augustine"",""F"",""University of Illinois at Urbana-Champaign"",2007,2008,27,5.8,1.6,1.2,0.1,0.2,0.1,0.514,0.514,"""",0.5,0.3,0.101"
"2007,""NBA"",2,46,""GSW"",""St?phane Lasme"",""F"",""University of Massachusetts Amherst"",2008,2008,16,18.9,5.2,3.3,0.2,0.8,1.4,0.451,0.451,"""",0.594,0.3,0.041"
"2010,""NBA"",1,25,""MEM"",""Dominique Jones"",""G"",""University of South Florida"",2011,2013,80,9.3,3.1,1.4,1.8,0.4,0.1,0.366,0.393,0.095,0.729,0.3,0.017"
"2010,""NBA"",2,58,""LAL"",""Derrick Caracter"",""F"",""University of Texas at El Paso"",2011,2011,41,5.2,2,1,0.2,0.1,0.2,0.485,0.485,"""",0.739,0.3,0.057"
"2011,""NBA"",2,39,""CHA"",""Jeremy Tyler"",""C"","""",2012,2014,104,9.9,3.6,2.6,0.2,0.2,0.4,0.45,0.451,0,0.557,0.3,0.014"
"2012,""NBA"",2,48,""NYK"",""Kostas Papanikolaou"",""F"","""",2015,2016,69,15.8,3.6,2.3,1.5,0.6,0.3,0.354,0.416,0.297,0.688,0.3,0.015"
"2015,""NBA"",2,38,""DET"",""Darrun Hilliard"",""G"",""Villanova University"",2016,2018,91,9.4,3.2,0.9,0.8,0.2,0,0.377,0.42,0.304,0.747,0.3,0.016"
"2016,""NBA"",1,18,""DET"",""Henry Ellenson"",""F"",""Marquette University"",2017,2019,76,9.7,4.3,2.5,0.6,0.2,0,0.377,0.395,0.353,0.774,0.3,0.022"
"2016,""NBA"",2,52,""UTA"",""Joel Bolomboy"",""F"",""Weber State University"",2017,2018,18,5.1,1.7,1.5,0.1,0.2,0.1,0.545,0.647,0.2,0.5,0.3,0.132"
"2017,""NBA"",1,11,""CHO"",""Malik Monk"",""G"",""University of Kentucky"",2018,2019,136,15.5,7.9,1.5,1.5,0.4,0.2,0.376,0.429,0.335,0.871,0.3,0.007"
"2017,""NBA"",2,54,""PHO"",""Alec Peters"",""F"",""Valparaiso University"",2018,2018,20,11.3,4.1,1.9,0.6,0.1,0.1,0.378,0.625,0.31,0.8,0.3,0.055"
"2017,""NBA"",2,59,""SAS"",""Jaron Blossomgame"",""F"",""Clemson University"",2019,2019,27,16.3,4.2,3.6,0.5,0.3,0.3,0.443,0.552,0.256,0.769,0.3,0.03"
"2018,""NBA"",2,48,""MIN"",""Keita Bates-Diop"",""F"",""Ohio State University"",2019,2019,30,16.8,5,2.8,0.6,0.6,0.5,0.423,0.522,0.25,0.643,0.3,0.032"
"2018,""NBA"",2,54,""DAL"",""Shake Milton"",""G"",""Southern Methodist University"",2019,2019,20,13.4,4.4,1.8,0.9,0.4,0.4,0.391,0.465,0.318,0.714,0.3,0.059"
"2000,""NBA"",1,28,""POR"",""Erick Barkley"",""G"",""St. John's University"",2001,2002,27,9.9,2.9,0.8,1.5,0.7,0,0.356,0.373,0.267,0.9,0.2,0.027"
"2000,""NBA"",2,55,""GSW"",""Chris Porter"",""F"",""Auburn University"",2001,2001,51,22.5,8.6,3.7,1.2,0.9,0.1,0.389,0.393,0,0.667,0.2,0.008"
"2001,""NBA"",2,50,""POR"",""Ruben Boumtje-Boumtje"",""C"",""Georgetown University"",2002,2004,44,6.3,1,1.3,0.1,0.1,0.4,0.368,0.368,"""",0.556,0.2,0.027"
"2003,""NBA"",2,37,""ATL"",""Travis Hansen"",""G"",""Brigham Young University"",2004,2004,41,12.4,3,1.7,0.5,0.2,0.2,0.354,0.37,0.3,0.815,0.2,0.019"
"2004,""NBA"",1,10,""CLE"",""Luke Jackson"",""F"",""University of Oregon"",2005,2008,73,9.9,3.5,1.2,0.8,0.3,0,0.357,0.356,0.36,0.732,0.2,0.01"
"2005,""NBA"",2,54,""NYK"",""Dijon Thompson"",""G-F"",""University of California Los Angeles"",2006,2007,16,5.8,2.8,1.2,0.2,0.2,0.1,0.425,0.481,0.308,0.875,0.2,0.102"
"2006,""NBA"",2,43,""NOK"",""Marcus Vinicius"",""F"","""",2007,2008,26,6.6,1.9,0.7,0.3,0.1,0.1,0.457,0.5,0.421,0.556,0.2,0.056"
"2008,""NBA"",2,41,""IND"",""Nathan Jawai"",""C-F"","""",2009,2010,45,9.6,2.8,2.4,0.5,0.2,0.2,0.435,0.439,0,0.684,0.2,0.02"
"2008,""NBA"",2,56,""SEA"",""Sasha Kaun"",""C"",""University of Kansas"",2016,2016,25,3.8,0.9,1,0.1,0.2,0.2,0.529,0.529,"""",0.455,0.2,0.096"
"2009,""NBA"",1,22,""POR"",""Victor Claver"",""F"","""",2013,2015,80,13.4,3.2,2.2,0.7,0.4,0.2,0.398,0.489,0.293,0.585,0.2,0.011"
"2009,""NBA"",2,32,""WAS"",""Jermaine Taylor"",""G"",""University of Central Florida"",2010,2011,65,12.1,5.4,1.7,0.7,0.4,0.1,0.441,0.484,0.284,0.73,0.2,0.014"
"2009,""NBA"",2,58,""BOS"",""Lester Hudson"",""G"",""University of Tennessee at Martin"",2010,2015,57,10.4,4.7,1.4,1.2,0.6,0.1,0.375,0.441,0.277,0.806,0.2,0.016"
"2010,""NBA"",1,30,""WAS"",""Lazar Hayward"",""F"",""Marquette University"",2011,2013,72,8.2,2.9,1.3,0.5,0.2,0.1,0.347,0.395,0.269,0.767,0.2,0.02"
"2010,""NBA"",2,54,""LAC"",""Willie Warren"",""G"",""University of Oklahoma"",2011,2011,19,7.1,1.9,0.6,1.4,0.3,0,0.371,0.4,0.333,0.75,0.2,0.065"
"2011,""NBA"",1,27,""NJN"",""JaJuan Johnson"",""F"",""Purdue University"",2012,2012,36,8.3,3.2,1.6,0.2,0.1,0.4,0.446,0.446,"""",0.667,0.2,0.032"
"2012,""NBA"",1,24,""CLE"",""Jared Cunningham"",""G"",""Oregon State University"",2013,2016,84,7.2,2.3,0.7,0.5,0.3,0,0.347,0.369,0.306,0.674,0.2,0.017"
"2012,""NBA"",2,44,""DET"",""Kim English"",""G"",""University of Missouri"",2013,2013,41,9.9,2.9,0.9,0.6,0.4,0.1,0.375,0.452,0.28,0.724,0.2,0.021"
"2012,""NBA"",2,52,""GSW"",""Ognjen Kuzmi?"",""C"","""",2014,2015,37,4.4,0.9,1,0.2,0.1,0.1,0.52,0.52,"""",0.6,0.2,0.061"
"2013,""NBA"",2,37,""DET"",""Tony Mitchell"",""F"",""University of North Texas"",2014,2014,21,3.8,1,1.2,0.1,0.3,0.1,0.417,0.364,1,0.579,0.2,0.151"
"2014,""NBA"",2,36,""MIL"",""Johnny O'Bryant"",""F-C"",""Louisiana State University"",2015,2018,147,11.5,3.5,2.4,0.5,0.2,0.1,0.402,0.406,0.36,0.663,0.2,0.006"
"2014,""NBA"",2,43,""ATL"",""Edy Tavares"",""C"","""",2016,2017,13,7.8,2.5,2.5,0.3,0.1,0.9,0.625,0.625,"""",0.273,0.2,0.118"
"2016,""NBA"",1,4,""PHO"",""Dragan Bender"",""F"","""",2017,2019,171,20.3,5.3,3.8,1.2,0.3,0.6,0.394,0.516,0.321,0.647,0.2,0.002"
"2016,""NBA"",2,45,""BOS"",""Demetrius Jackson"",""G"",""University of Notre Dame"",2017,2019,26,5.2,1.8,0.7,0.7,0.3,0,0.486,0.609,0.286,0.667,0.2,0.087"
"2017,""NBA"",1,24,""UTA"",""Tyler Lydon"",""F"",""Syracuse University"",2018,2019,26,3.7,0.9,0.7,0.2,0.1,0,0.5,0.625,0.4,0.333,0.2,0.084"
"2017,""NBA"",2,56,""BOS"",""Jabari Bird"",""G"",""University of California"",2018,2018,13,8.8,3,1.5,0.6,0.2,0.1,0.577,0.632,0.429,0.462,0.2,0.098"
"2018,""NBA"",1,25,""LAL"",""Moritz Wagner"",""F-C"",""University of Michigan"",2019,2019,43,10.4,4.8,2,0.6,0.3,0.3,0.415,0.521,0.286,0.811,0.2,0.02"
"2018,""NBA"",2,56,""PHI"",""Ray Spalding"",""F"",""University of Louisville"",2019,2019,14,10.6,3.9,3.4,0.4,0.6,0.6,0.532,0.568,0,0.333,0.2,0.051"
"2000,""NBA"",2,50,""UTA"",""Kaniel Dickens"",""F"",""University of Idaho"",2004,2008,19,4.5,1.2,0.6,0.1,0.1,0.1,0.4,0.455,0.333,0.75,0.1,0.055"
"2000,""NBA"",2,51,""MIN"",""Igor Rako?evi?"",""G"","""",2003,2003,42,5.8,1.9,0.4,0.8,0.1,0,0.379,0.37,0.417,0.806,0.1,0.022"
"2001,""NBA"",2,48,""MEM"",""Antonis Fotsis"",""F"","""",2002,2002,28,11.4,3.9,2.2,0.4,0.3,0.4,0.404,0.432,0.304,0.85,0.1,0.017"
"2001,""NBA"",2,57,""PHI"",""Alvin Jones"",""C"",""Georgia Institute of Technology"",2002,2002,23,5.5,1.1,1.6,0.1,0.1,0.4,0.4,0.4,"""",0.5,0.1,0.034"
"2002,""NBA"",1,25,""DEN"",""Frank Williams"",""G"",""University of Illinois at Urbana-Champaign"",2003,2005,86,11.1,2.9,0.9,1.9,0.4,0.1,0.352,0.376,0.3,0.833,0.1,0.003"
"2002,""NBA"",2,58,""SAC"",""Corsley Edwards"",""F"",""Central Connecticut State University"",2005,2005,10,11,2.7,2.5,0.3,0.3,0.4,0.323,0.323,"""",0.583,0.1,0.026"
"2003,""NBA"",1,26,""MIN"",""Ndudi Ebi"",""F"","""",2004,2005,19,4.5,2.1,1,0.2,0.1,0.3,0.486,0.5,0,0.462,0.1,0.051"
"2003,""NBA"",2,48,""NOH"",""James Lang"",""C"","""",2007,2007,11,5,1,1,0.2,0,0.3,0.444,0.444,"""",0.6,0.1,0.047"
"2004,""NBA"",2,35,""SEA"",""Andre Emmett"",""F"",""Texas Tech University"",2005,2012,14,5.2,1.4,0.6,0.1,0.1,0.1,0.462,0.5,0,0.615,0.1,0.04"
"2004,""NBA"",2,36,""ORL"",""Antonio Burks"",""G"",""University of Memphis"",2005,2006,81,9.7,2.3,0.6,1.3,0.4,0,0.387,0.401,0.235,0.571,0.1,0.004"
"2005,""NBA"",2,58,""TOR"",""Uro? Slokar"",""F"","""",2007,2007,20,3.6,1.9,0.7,0.1,0.1,0.1,0.538,0.542,0.5,0.692,0.1,0.042"
"2006,""NBA"",1,15,""NOK"",""Cedric Simmons"",""F"",""North Carolina State University"",2007,2009,75,9.4,2.2,1.9,0.2,0.1,0.4,0.409,0.409,"""",0.39,0.1,0.005"
"2006,""NBA"",2,46,""UTA"",""Dee Brown"",""G"",""University of Illinois at Urbana-Champaign"",2007,2009,68,10.5,2.1,1,1.8,0.5,0.1,0.34,0.389,0.25,0.643,0.1,0.008"
"2007,""NBA"",1,19,""LAL"",""Javaris Crittenton"",""G"",""Georgia Institute of Technology"",2008,2009,113,16.4,5.3,2.4,1.8,0.5,0.1,0.442,0.466,0.231,0.638,0.1,0.002"
"2007,""NBA"",2,42,""POR"",""Derrick Byars"",""F"",""Vanderbilt University"",2012,2012,2,18.5,5,5.5,0.5,1,0,0.273,0.6,0,1,0.1,0.147"
"2008,""NBA"",1,30,""BOS"",""J.R. Giddens"",""G"",""University of New Mexico"",2009,2010,38,6.5,1.9,1.4,0.3,0.3,0.1,0.476,0.566,0,0.565,0.1,0.027"
"2010,""NBA"",2,57,""IND"",""Ryan Reid"",""F"",""Florida State University"",2012,2012,5,3.4,1.6,0.4,0,0,0,0.8,0.8,"""","""",0.1,0.142"
"2011,""NBA"",2,47,""LAC"",""Travis Leslie"",""G"",""University of Georgia"",2012,2012,10,4.5,1.4,0.9,0.5,0.2,0.2,0.357,0.357,"""",0.444,0.1,0.06"
"2012,""NBA"",2,42,""MIL"",""Doron Lamb"",""G"",""University of Kentucky"",2013,2014,100,12.7,3.5,1,0.8,0.2,0,0.381,0.372,0.394,0.7,0.1,0.005"
"2013,""NBA"",2,46,""UTA"",""Erick Green"",""G"",""Virginia Polytechnic Institute and State University"",2015,2016,52,8.7,3.1,0.7,0.8,0.3,0,0.377,0.415,0.288,0.857,0.1,0.011"
"2014,""NBA"",1,28,""LAC"",""C.J. Wilcox"",""G"",""University of Washington"",2015,2017,66,5.7,2,0.5,0.5,0.2,0.1,0.37,0.397,0.333,0.813,0.1,0.007"
"2014,""NBA"",2,48,""MIL"",""Lamar Patterson"",""G-F"",""University of Pittsburgh"",2016,2017,40,10.9,2.3,1.4,1.1,0.3,0.1,0.326,0.45,0.236,0.72,0.1,0.006"
"2014,""NBA"",2,55,""MIA"",""Semaj Christon"",""G"",""Xavier University"",2017,2017,64,15.2,2.9,1.4,2,0.4,0.1,0.345,0.406,0.19,0.548,0.1,0.006"
"2016,""NBA"",1,25,""LAC"",""Brice Johnson"",""F"",""University of North Carolina"",2017,2018,21,5.1,2.2,1.6,0.1,0.5,0.3,0.449,0.458,0,0.6,0.1,0.062"
"2016,""NBA"",2,37,""HOU"",""Chinanu Onuaku"",""F-C"",""University of Louisville"",2017,2018,6,12.3,3,2.3,0.7,0.5,0.2,0.583,0.583,"""",1,0.1,0.043"
"2017,""NBA"",1,28,""LAL"",""Tony Bradley"",""F-C"",""University of North Carolina"",2018,2019,12,5.4,2.1,2.2,0.2,0.2,0.2,0.407,0.423,0,0.75,0.1,0.087"
"2017,""NBA"",2,52,""NOP"",""Edmond Sumner"",""G"",""Xavier University"",2018,2019,24,8.8,2.8,1,0.4,0.5,0.2,0.354,0.421,0.259,0.625,0.1,0.024"
"2018,""NBA"",1,13,""LAC"",""Jerome Robinson"",""G"",""Boston College"",2019,2019,33,9.7,3.4,1.2,0.6,0.3,0.1,0.4,0.491,0.316,0.667,0.1,0.012"
"2018,""NBA"",1,16,""PHO"",""Zhaire Smith"",""G"",""Texas Tech University"",2019,2019,6,18.5,6.7,2.2,1.7,0.3,0.3,0.412,0.444,0.375,0.75,0.1,0.048"
"2018,""NBA"",1,24,""POR"",""Anfernee Simons"",""G"","""",2019,2019,20,7.1,3.8,0.7,0.7,0.1,0,0.444,0.529,0.345,0.563,0.1,0.02"
"2018,""NBA"",2,41,""ORL"",""Jarred Vanderbilt"",""F"",""University of Kentucky"",2019,2019,17,4.1,1.4,1.4,0.2,0.4,0.1,0.474,0.5,0,0.6,0.1,0.037"
"2018,""NBA"",2,58,""DEN"",""Thomas Welsh"",""C"",""University of California Los Angeles"",2019,2019,11,3.3,1.6,0.4,0.5,0,0,0.538,0.667,0.429,0.5,0.1,0.162"
"2000,""NBA"",2,53,""DEN"",""Dan McClintock"",""C"",""Northern Arizona University"",2001,2001,6,9.7,3,2.8,0.2,0,0.3,0.5,0.5,"""",0,0,0.007"
"2001,""NBA"",2,33,""MEM"",""Will Solomon"",""G"",""Clemson University"",2002,2009,115,13.8,5.1,1.1,2,0.5,0.1,0.378,0.439,0.298,0.692,0,0"
"2001,""NBA"",2,41,""IND"",""Jamison Brewer"",""G"",""Auburn University"",2002,2005,54,8.7,1.6,0.9,1,0.4,0,0.372,0.435,0.25,0.393,0,-0.001"
"2001,""NBA"",2,49,""MIA"",""Ken Johnson"",""F-C"",""Ohio State University"",2003,2003,16,9.8,2,2,0,0.1,0.8,0.405,0.405,"""",0.333,0,-0.002"
"2002,""NBA"",1,6,""CLE"",""Dajuan Wagner"",""G"",""University of Memphis"",2003,2007,103,21.4,9.4,1.4,1.9,0.7,0.1,0.366,0.385,0.321,0.77,0,0"
"2002,""NBA"",2,32,""MEM"",""Robert Archibald"",""F"",""University of Illinois at Urbana-Champaign"",2003,2004,44,7.5,1.2,1.6,0.4,0.3,0.1,0.283,0.283,"""",0.429,0,-0.004"
"2002,""NBA"",2,38,""HOU"",""Tito Maddox"",""G"",""California State University Fresno"",2003,2003,9,3.9,1.2,0.8,0.6,0.3,0.1,0.25,0.333,0,0.625,0,-0.011"
"2002,""NBA"",2,48,""MIL"",""Chris Owens"",""F"",""University of Texas at Austin"",2003,2003,1,6,4,1,0,0,0,0.667,0.667,"""","""",0,-0.032"
"2002,""NBA"",2,57,""SAS"",""Randy Holcomb"",""F"",""San Diego State University"",2006,2006,4,2.8,0.5,0.3,0,0,0,1,1,"""","""",0,0.15"
"2003,""NBA"",2,33,""MIA"",""Jerome Beasley"",""F"",""University of North Dakota"",2004,2004,2,2.5,1,0.5,0,0,0,0.333,0.333,"""","""",0,-0.117"
"2003,""NBA"",2,39,""NYK"",""Slavko Vrane?"",""C"","""",2004,2004,1,3,0,0,0,0,0,0,0,"""","""",0,-0.371"
"2003,""NBA"",2,40,""GSW"",""Derrick Zimmerman"",""G"",""Mississippi State University"",2006,2006,2,16,2,2,3.5,0,0,0.667,0.667,"""","""",0,0.004"
"2004,""NBA"",2,31,""CHI"",""Jackson Vroman"",""F-C"",""Iowa State University"",2005,2006,87,12.8,3.3,3,0.6,0.4,0.3,0.408,0.412,0,0.58,0,0.001"
"2004,""NBA"",2,32,""WAS"",""Peter John Ramos"",""C"","""",2005,2005,6,3.3,1.8,0.7,0,0,0.2,0.5,0.5,"""",0.5,0,-0.108"
"2004,""NBA"",2,55,""HOU"",""Luis Flores"",""G"",""Manhattan College"",2005,2005,16,4.8,2.2,0.2,0.7,0.1,0,0.483,0.474,0.5,1,0,-0.02"
"2005,""NBA"",1,20,""DEN"",""Julius Hodge"",""G"",""North Carolina State University"",2006,2007,23,4.3,1.2,0.7,0.8,0.3,0,0.44,0.44,"""",0.5,0,0.003"
"2005,""NBA"",2,44,""ORL"",""Martynas Andriu?kevi?ius"",""C"","""",2006,2006,6,1.5,0,0.7,0,0.3,0,0,0,"""","""",0,0.155"
"2005,""NBA"",2,51,""UTA"",""Robert Whaley"",""C"",""Walsh University"",2006,2006,23,9.2,2.1,1.9,0.7,0.3,0.3,0.404,0.404,"""",0.5,0,0.004"
"2006,""NBA"",1,19,""SAC"",""Quincy Douby"",""G"",""Rutgers University"",2007,2009,143,10.7,4.1,1.1,0.7,0.3,0.1,0.389,0.436,0.312,0.884,0,0"
"2006,""NBA"",1,22,""NJN"",""Marcus Williams"",""G"",""University of Connecticut"",2007,2010,203,15.2,5.6,1.8,2.8,0.4,0,0.386,0.421,0.321,0.767,0,-0.001"
"2006,""NBA"",2,38,""GSW"",""Kosta Perovi?"",""C"","""",2008,2008,7,5.4,1.4,1.9,0.1,0,0.3,0.3,0.3,"""",0.667,0,0.06"
"2006,""NBA"",2,52,""LAC"",""Guillermo D?az"",""G"",""University of Miami"",2008,2008,6,3,0.8,0.3,0.2,0,0,0.25,0.333,0,0.6,0,0.033"
"2007,""NBA"",1,25,""UTA"",""Morris Almond"",""G"",""Rice University"",2008,2012,38,9.5,3.1,1.2,0.3,0.3,0.1,0.381,0.404,0.292,0.743,0,0.005"
"2007,""NBA"",2,36,""GSW"",""Jermareo Davidson"",""F"",""University of Alabama"",2008,2009,52,8.3,3.1,1.8,0.3,0.2,0.3,0.425,0.425,"""",0.578,0,0"
"2007,""NBA"",2,51,""CHI"",""JamesOn Curry"",""G"",""Oklahoma State University"",2010,2010,1,0,0,0,0,0,0,"""","""","""","""",0,"""""
"2008,""NBA"",2,39,""CHI"",""Sonny Weems"",""G-F"",""University of Arkansas"",2009,2016,183,18.2,6.5,2.2,1.4,0.5,0.2,0.465,0.487,0.283,0.702,0,0.001"
"2008,""NBA"",2,42,""SAC"",""Sean Singletary"",""G"",""University of Virginia"",2009,2009,37,8.2,2.4,0.9,0.8,0.3,0,0.365,0.35,0.4,0.857,0,0.006"
"2008,""NBA"",2,58,""LAL"",""Joe Crawford"",""F"",""University of Kentucky"",2009,2009,2,11.5,4.5,2,0.5,0.5,0,0.3,0.333,0.25,1,0,0.037"
"2009,""NBA"",2,48,""PHO"",""Taylor Griffin"",""F"",""University of Oklahoma"",2010,2010,8,4,1.3,0.3,0.1,0,0.3,0.4,0.5,0,0.5,0,-0.039"
"2010,""NBA"",1,24,""ATL"",""Damion James"",""G-F"",""University of Texas at Austin"",2011,2014,39,16,3.8,3.4,0.7,0.6,0.5,0.415,0.433,0,0.667,0,-0.001"
"2010,""NBA"",2,46,""PHO"",""Gani Lawal"",""F"",""Georgia Institute of Technology"",2011,2011,1,2,0,0,0,0,0,"""","""","""","""",0,-0.009"
"2010,""NBA"",2,50,""DAL"",""Solomon Alabi"",""C"",""Florida State University"",2011,2012,26,7,1.5,2.3,0.2,0.2,0.4,0.314,0.314,"""",0.7,0,0.01"
"2010,""NBA"",2,53,""ATL"",""Pape Sy"",""F"","""",2011,2011,3,7,2.3,1,0.7,0.3,0,0.333,0.4,0,1,0,-0.047"
"2010,""NBA"",2,56,""MIN"",""Hamady N'Diaye"",""C"",""Rutgers University"",2011,2014,33,4.8,0.6,0.8,0.1,0.1,0.3,0.467,0.467,"""",0.462,0,0.013"
"2011,""NBA"",2,37,""LAC"",""Trey Thompkins"",""F"",""University of Georgia"",2012,2012,24,5,2.4,1,0.1,0.1,0.1,0.393,0.417,0.308,0.714,0,0.004"
"2011,""NBA"",2,46,""LAL"",""Andrew Goudelock"",""G"",""College of Charleston"",2012,2016,49,9.7,4,0.7,0.5,0.2,0,0.393,0.429,0.345,0.875,0,0.003"
"2011,""NBA"",2,48,""ATL"",""Keith Benson"",""C"",""Oakland University"",2012,2012,3,3,0,1,0,0,0,0,0,"""","""",0,-0.005"
"2012,""NBA"",1,16,""HOU"",""Royce White"",""F"",""Iowa State University"",2014,2014,3,3,0,0,0,0,0,0,0,"""","""",0,-0.121"
"2012,""NBA"",1,22,""BOS"",""Fab Melo"",""C"",""Syracuse University"",2013,2013,6,6,1.2,0.5,0,0.3,0.3,0.5,0.5,"""",0.25,0,0.021"
"2013,""NBA"",2,33,""CLE"",""Carrick Felix"",""G"",""Arizona State University"",2014,2014,7,5.4,2.7,0.9,0.6,0,0,0.5,0.556,0.4,0.75,0,0.057"
"2013,""NBA"",2,41,""MEM"",""Jamaal Franklin"",""G"",""San Diego State University"",2014,2015,24,7.3,1.8,1,0.4,0.2,0.1,0.415,0.393,0.462,1,0,-0.006"
"2013,""NBA"",2,42,""PHI"",""Pierre Jackson"",""G"",""Baylor University"",2017,2017,8,10.5,4.4,1.1,2.4,0.3,0,0.333,0.357,0.273,0.857,0,0.021"
