Year,Lg,Rd,Pk,Tm,Player,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2014,NBA,1,25,HOU,Clint Capela,C,ch,,2015,2019,295,25.1,12,9.2,0.9,0.7,1.4,0.635,0.635,0,0.525,31.4,0.204
2012,NBA,2,39,DET,Khris Middleton,F-G,us,Texas A&M University,2013,2019,455,31.7,15.7,4.4,3.2,1.3,0.2,0.451,0.484,0.388,0.87,31,0.103
2013,NBA,1,22,BRK,Mason Plumlee,C-F,us,Duke University,2014,2019,471,22.1,8.5,6.3,2.2,0.8,1,0.57,0.575,0.074,0.565,31,0.143
2004,NBA,1,11,GSW,Andris Biedri?š,C,lv,,2005,2014,516,21.6,6.3,7,0.9,0.6,1.1,0.594,0.595,0,0.5,30.7,0.132
2006,NBA,1,14,UTA,Ronnie Brewer,G-F,us,University of Arkansas,2007,2014,502,23,7.8,2.8,1.6,1.2,0.2,0.49,0.52,0.254,0.675,30.4,0.127
2004,NBA,1,14,UTA,Kris Humphries,F-C,us,University of Minnesota,2005,2017,800,17.8,6.7,5.4,0.7,0.4,0.6,0.463,0.471,0.293,0.7,30.3,0.102
2005,NBA,2,34,UTA,C.J. Miles,G-F,us,,2006,2019,838,20.4,9.6,2.4,1.1,0.7,0.3,0.412,0.464,0.359,0.81,30,0.084
2006,NBA,2,35,TOR,P.J. Tucker,F,us,University of Texas at Austin,2007,2019,582,28.7,7.4,5.7,1.4,1.2,0.3,0.422,0.469,0.361,0.744,30,0.086
2004,NBA,1,4,LAC,Shaun Livingston,G,us,,2005,2019,833,20.6,6.3,2.4,3,0.7,0.4,0.486,0.491,0.178,0.794,29.9,0.084
2009,NBA,1,10,MIL,Brandon Jennings,G,us,,2010,2018,555,30.3,14.1,3,5.7,1.2,0.2,0.387,0.412,0.345,0.796,29.9,0.085
2012,NBA,1,7,GSW,Harrison Barnes,F,us,University of North Carolina,2013,2019,540,30.7,13.6,4.9,1.5,0.7,0.2,0.446,0.475,0.374,0.795,29.7,0.086
2007,NBA,1,18,GSW,Marco Belinelli,G-F,it,,2008,2019,803,23.2,10,2.1,1.7,0.6,0.1,0.425,0.467,0.376,0.847,29.6,0.076
2009,NBA,1,27,MEM,DeMarre Carroll,F,us,University of Missouri,2010,2019,554,24.2,9.1,4.3,1.3,0.9,0.3,0.43,0.485,0.36,0.743,29.3,0.105
2003,NBA,2,38,WAS,Steve Blake,G,us,University of Maryland,2004,2016,870,23.9,6.5,2.1,4,0.7,0.1,0.401,0.42,0.383,0.779,29.1,0.067
2013,NBA,1,3,WAS,Otto Porter,F,us,Georgetown University,2014,2019,399,26.9,11,5,1.5,1.2,0.4,0.483,0.529,0.405,0.793,29.1,0.13
2011,NBA,2,38,HOU,Chandler Parsons,F,us,University of Florida,2012,2019,435,30.3,12.8,4.5,2.8,0.9,0.3,0.462,0.522,0.373,0.713,29,0.106
2007,NBA,2,56,MIL,Ramon Sessions,G,us,University of Nevada Reno,2008,2018,691,23.3,10.3,2.7,4.1,0.7,0.1,0.434,0.45,0.316,0.791,28.8,0.086
2007,NBA,1,15,DET,Rodney Stuckey,G,us,Eastern Washington University,2008,2017,651,27.5,12.6,2.9,3.6,0.9,0.1,0.423,0.442,0.3,0.824,28.7,0.077
2010,NBA,1,14,HOU,Patrick Patterson,F,us,University of Kentucky,2011,2019,622,21.8,6.9,4.1,1.1,0.6,0.5,0.45,0.5,0.367,0.749,28.7,0.102
2012,NBA,2,34,CLE,Jae Crowder,F,us,Marquette University,2013,2019,543,24.2,9.5,3.9,1.4,1,0.3,0.423,0.513,0.339,0.778,28.7,0.105
2009,NBA,1,4,SAC,Tyreke Evans,G-F,us,University of Memphis,2010,2019,594,30.7,15.7,4.6,4.8,1.2,0.4,0.44,0.468,0.323,0.757,28.4,0.075
2007,NBA,1,23,NYK,Wilson Chandler,F,us,DePaul University,2008,2019,641,30.5,12.9,5.3,1.8,0.7,0.6,0.444,0.496,0.343,0.768,28.3,0.069
2008,NBA,1,23,UTA,Kosta Koufos,C,us,Ohio State University,2009,2019,686,16.4,5.7,5,0.5,0.4,0.7,0.534,0.535,0,0.582,28.3,0.12
2011,NBA,1,24,OKC,Reggie Jackson,G,it,Boston College,2012,2019,530,25.2,12.9,3,4.4,0.7,0.1,0.429,0.471,0.333,0.859,28.2,0.101
2003,NBA,1,27,MEM,Kendrick Perkins,C,us,,2004,2018,782,21.9,5.4,5.8,1,0.3,1.2,0.53,0.532,0,0.594,27.9,0.078
2013,NBA,1,10,POR,CJ McCollum,G,us,Lehigh University,2014,2019,411,30,17.8,3.1,2.9,0.9,0.3,0.455,0.482,0.401,0.839,27.9,0.109
2005,NBA,1,21,PHO,Nate Robinson,G,us,University of Washington,2006,2016,618,22.5,11,2.3,3,0.9,0.1,0.423,0.463,0.36,0.796,27.8,0.096
2000,NBA,1,19,CHH,Jamaal Magloire,C,ca,University of Kentucky,2001,2012,680,21.5,7.2,6.5,0.6,0.3,0.9,0.48,0.481,0,0.639,27.7,0.091
2009,NBA,2,55,POR,Patty Mills,G,au,Saint Mary's College of California,2010,2019,605,19,8.4,1.7,2.4,0.6,0.1,0.431,0.477,0.391,0.849,27.5,0.115
2010,NBA,1,8,LAC,Al-Farouq Aminu,F,us,Wake Forest University,2011,2019,670,25.2,7.7,6.1,1.2,1,0.6,0.423,0.469,0.337,0.747,27.4,0.078
2002,NBA,1,8,LAC,Chris Wilcox,F,us,University of Maryland,2003,2013,628,19.9,8.2,4.9,0.7,0.5,0.4,0.541,0.543,0,0.643,26.9,0.103
2011,NBA,1,14,HOU,Marcus Morris,F,us,University of Kansas,2012,2019,545,26.5,11.5,4.6,1.5,0.7,0.3,0.431,0.476,0.36,0.747,26.8,0.089
2001,NBA,1,12,SEA,Vladimir Radmanovi?,F,ba,,2002,2013,737,21.9,8,3.8,1.4,0.7,0.4,0.415,0.451,0.378,0.758,26.5,0.079
2007,NBA,1,8,CHA,Brandan Wright,F-C,us,University of North Carolina,2008,2018,428,16.2,7,3.6,0.5,0.5,1,0.607,0.61,0,0.674,26.2,0.181
2010,NBA,1,23,MIN,Trevor Booker,F,us,Clemson University,2011,2018,532,20.4,6.9,5.5,1.1,0.7,0.5,0.515,0.534,0.305,0.636,26.2,0.116
2008,NBA,2,37,MIL,Luc Mbah a Moute,F,cm,University of California Los Angeles,2009,2019,686,23.3,6.4,4.1,0.9,0.9,0.4,0.454,0.478,0.335,0.66,26,0.078
2004,NBA,1,19,MIA,Dorell Wright,F-G,us,,2005,2015,549,22.4,8.4,3.8,1.5,0.8,0.5,0.424,0.469,0.365,0.806,25.9,0.101
2008,NBA,1,16,PHI,Marreese Speights,C-F,us,University of Florida,2009,2018,705,15.1,7.9,4.1,0.7,0.3,0.5,0.459,0.475,0.356,0.797,25.8,0.116
2009,NBA,2,39,DET,Jonas Jerebko,F,se,,2010,2019,635,17.8,6.2,4,0.8,0.5,0.2,0.457,0.507,0.363,0.77,25.8,0.109
2004,NBA,1,6,ATL,Josh Childress,G-F,us,Stanford University,2005,2014,391,26.7,9.1,4.7,1.6,0.9,0.5,0.522,0.548,0.329,0.779,25.7,0.118
2007,NBA,1,28,SAS,Tiago Splitter,F-C,br,,2011,2017,355,19.2,7.9,5,1.2,0.6,0.6,0.555,0.558,0.143,0.697,25.3,0.178
2003,NBA,2,49,IND,James Jones,F-G,us,University of Miami,2004,2017,709,15.7,5.2,1.8,0.5,0.3,0.3,0.401,0.402,0.401,0.84,25.2,0.109
2004,NBA,2,38,CHI,Chris Duhon,G,us,Duke University,2005,2013,606,25.6,6.5,2.3,4.4,0.8,0.1,0.393,0.426,0.363,0.784,25,0.077
2009,NBA,2,33,POR,Dante Cunningham,F,us,Villanova University,2010,2019,715,20.8,5.8,3.7,0.7,0.6,0.5,0.469,0.494,0.345,0.649,24.9,0.08
2013,NBA,1,13,DAL,Kelly Olynyk,C-F,ca,Gonzaga University,2014,2019,433,21.6,9.9,4.9,1.9,0.7,0.5,0.478,0.55,0.367,0.765,24.9,0.128
2009,NBA,2,42,LAL,Patrick Beverley,G,us,University of Arkansas,2013,2019,380,28.3,9,4.3,3.5,1.2,0.4,0.412,0.452,0.38,0.77,24.8,0.11
2000,NBA,2,38,HOU,Eduardo Nájera,F,mx,University of Oklahoma,2001,2012,619,18.1,4.9,3.7,0.8,0.7,0.4,0.481,0.509,0.311,0.671,24.7,0.106
2005,NBA,1,6,POR,Martell Webster,G-F,us,,2006,2015,580,24,8.7,3.1,1,0.5,0.3,0.418,0.454,0.382,0.791,24.7,0.085
2005,NBA,1,28,SAS,Ian Mahinmi,C,fr,,2008,2019,580,16.5,5,4.3,0.5,0.6,0.7,0.537,0.542,0.125,0.612,24.7,0.124
2003,NBA,1,6,LAC,Chris Kaman,C,us,Central Michigan University,2004,2016,735,26.7,11.2,7.6,1.3,0.4,1.3,0.489,0.49,0.042,0.743,24.6,0.06
2004,NBA,1,24,BOS,Delonte West,G,us,Saint Joseph's University,2005,2012,432,27.4,9.7,2.9,3.6,1.1,0.4,0.448,0.479,0.372,0.826,24.5,0.099
2013,NBA,1,21,UTA,Gorgui Dieng,C,sn,University of Louisville,2014,2019,452,22.7,8,6.2,1.4,0.8,1,0.505,0.518,0.332,0.79,24.4,0.114
2009,NBA,2,41,MIL,Jodie Meeks,G,us,University of Kentucky,2010,2019,539,22.5,9.3,2.1,1.1,0.8,0.1,0.42,0.471,0.373,0.879,24.3,0.096
2013,NBA,1,2,ORL,Victor Oladipo,G,us,Indiana University,2014,2019,402,33.2,17.5,4.6,4,1.7,0.5,0.443,0.482,0.352,0.793,24.2,0.087
2013,NBA,1,4,CHA,Cody Zeller,C-F,us,Indiana University,2014,2019,361,22.9,8.2,5.8,1.4,0.7,0.8,0.511,0.516,0.263,0.74,24.1,0.14
2008,NBA,1,12,SAC,Jason Thompson,F-C,us,Rider University,2009,2016,588,25.2,8.9,6.6,1.1,0.5,0.7,0.496,0.5,0.143,0.657,23.8,0.077
2013,NBA,1,8,DET,Kentavious Caldwell-Pope,G,us,University of Georgia,2014,2019,470,29.7,11.9,3.3,1.6,1.2,0.2,0.412,0.472,0.345,0.799,23.8,0.082
2011,NBA,1,13,PHO,Markieff Morris,F,us,University of Kansas,2012,2019,579,26,11.6,5.5,1.7,0.9,0.6,0.449,0.481,0.338,0.778,23.7,0.076
2006,NBA,1,7,BOS,Randy Foye,G,us,Villanova University,2007,2017,752,25.6,10.3,2.2,2.8,0.7,0.3,0.401,0.429,0.366,0.852,23.5,0.058
2009,NBA,1,16,CHI,James Johnson,F,us,Wake Forest University,2010,2019,602,20.7,7.9,3.6,2.1,0.8,0.9,0.477,0.531,0.305,0.695,23.5,0.09
2000,NBA,1,17,SEA,Desmond Mason,F,us,Oklahoma State University,2001,2010,643,30.5,12.1,4.5,1.6,0.7,0.4,0.449,0.456,0.26,0.74,23.1,0.056
2000,NBA,1,9,HOU,Joel Przybilla,C,us,University of Minnesota,2001,2013,592,19.8,3.9,6.2,0.4,0.3,1.4,0.552,0.553,0,0.557,23,0.094
2011,NBA,1,7,SAC,Bismack Biyombo,C-F,cd,,2012,2019,583,20.3,4.9,6.3,0.5,0.3,1.4,0.517,0.518,0,0.571,22.9,0.093
2005,NBA,1,7,TOR,Charlie Villanueva,F,us,University of Connecticut,2006,2016,656,20.7,10.4,4.6,0.8,0.5,0.5,0.435,0.484,0.341,0.772,22.6,0.08
2007,NBA,1,10,SAC,Spencer Hawes,C-F,us,University of Washington,2008,2017,684,22.7,8.7,5.7,1.9,0.4,1,0.457,0.482,0.35,0.716,22.6,0.07
2003,NBA,1,25,DET,Carlos Delfino,G,ar,,2005,2013,507,22.8,8.1,3.6,1.7,0.9,0.2,0.401,0.438,0.365,0.758,22.5,0.093
2007,NBA,1,7,MIN,Corey Brewer,F-G,us,University of Florida,2008,2019,814,23,8.7,2.8,1.5,1.3,0.3,0.425,0.48,0.284,0.713,22.5,0.058
2014,NBA,2,45,CHH,Dwight Powell,F-C,ca,Stanford University,2015,2019,331,17.8,7.5,4.5,0.9,0.7,0.5,0.553,0.612,0.298,0.75,22.4,0.182
2015,NBA,1,11,IND,Myles Turner,C-F,us,University of Texas at Austin,2016,2019,280,28.1,12.9,6.7,1.2,0.7,2.1,0.495,0.522,0.363,0.771,22.1,0.135
2008,NBA,1,19,CLE,J.J. Hickson,F-C,us,North Carolina State University,2009,2016,534,22.3,9.5,6.8,0.8,0.5,0.6,0.505,0.508,0,0.617,21.9,0.088
2008,NBA,1,3,MIN,O.J. Mayo,G,us,University of Southern California,2009,2016,547,30.9,13.8,3.1,2.9,1,0.3,0.429,0.459,0.373,0.82,21.8,0.062
2011,NBA,1,29,SAS,Cory Joseph,G,ca,University of Texas at Austin,2012,2019,528,21.5,6.9,2.6,2.8,0.8,0.2,0.444,0.477,0.327,0.761,21.8,0.092
2001,NBA,1,4,CHI,Eddy Curry,C,us,,2002,2013,527,24.9,12.9,5.2,0.5,0.3,0.7,0.545,0.544,1,0.642,21.7,0.08
2002,NBA,1,24,NJN,Nenad Krsti?,C,rs,,2005,2011,419,25.2,10,5.4,0.8,0.4,0.7,0.494,0.495,0.143,0.73,21.5,0.098
2000,NBA,1,2,VAN,Stromile Swift,F,us,Louisiana State University,2001,2009,547,19.8,8.4,4.6,0.5,0.6,1.2,0.473,0.476,0.074,0.699,21.3,0.095
2012,NBA,1,2,CHA,Michael Kidd-Gilchrist,F,us,University of Kentucky,2013,2019,421,25.4,8.8,5.6,1.2,0.7,0.7,0.477,0.483,0.277,0.714,21.2,0.095
2008,NBA,2,36,POR,Ömer A??k,C,tr,,2011,2018,471,19.6,5.3,7.1,0.6,0.4,0.7,0.528,0.528,0,0.551,20.9,0.109
2001,NBA,1,1,WAS,Kwame Brown,F,us,,2002,2013,607,22.1,6.6,5.5,0.9,0.5,0.6,0.492,0.493,0.111,0.57,20.8,0.074
2002,NBA,2,53,MIA,Rasual Butler,F-G,us,La Salle University,2003,2016,809,21.3,7.5,2.4,0.8,0.4,0.5,0.403,0.437,0.362,0.747,20.8,0.058
2011,NBA,1,23,HOU,Nikola Miroti?,F,me,,2015,2019,319,24.2,12.3,5.9,1.3,0.8,0.7,0.423,0.502,0.359,0.808,20.8,0.129
2012,NBA,1,12,HOU,Jeremy Lamb,G-F,us,University of Connecticut,2013,2019,435,20.5,10.2,3.7,1.5,0.7,0.3,0.443,0.499,0.339,0.853,20.8,0.112
2010,NBA,1,2,PHI,Evan Turner,G,us,Ohio State University,2011,2019,686,27.2,9.9,4.7,3.5,0.8,0.3,0.435,0.458,0.296,0.781,20.5,0.053
2003,NBA,2,43,MIL,Keith Bogans,G-F,us,University of Kentucky,2004,2014,671,21.6,6.3,2.7,1.3,0.6,0.1,0.394,0.442,0.353,0.716,20.4,0.068
2005,NBA,1,19,MEM,Hakim Warrick,F,us,Syracuse University,2006,2013,526,20.2,9.4,4,0.8,0.4,0.3,0.49,0.499,0.191,0.726,20.4,0.092
2005,NBA,1,26,DET,Jason Maxiell,F,us,University of Cincinnati,2006,2015,618,18.4,5.6,4.2,0.4,0.4,0.8,0.495,0.496,0,0.564,20.3,0.086
2009,NBA,1,13,IND,Tyler Hansbrough,F,us,University of North Carolina,2010,2016,428,16.9,6.7,4.2,0.4,0.5,0.2,0.439,0.442,0.136,0.738,20.2,0.134
2001,NBA,1,18,HOU,Jason Collins,C,us,Stanford University,2002,2014,735,20.4,3.6,3.7,0.9,0.5,0.5,0.411,0.414,0.206,0.647,20.1,0.064
2001,NBA,2,42,SEA,Bobby Simmons,G-F,us,DePaul University,2002,2012,466,24.7,9,3.8,1.5,0.8,0.2,0.437,0.452,0.396,0.823,20.1,0.084
2000,NBA,2,37,MIA,Eddie House,G,us,Arizona State University,2001,2011,717,17.3,7.5,1.7,1.6,0.7,0.1,0.409,0.423,0.39,0.851,20,0.077
2009,NBA,2,43,MIA,Marcus Thornton,G,us,Louisiana State University,2010,2017,483,23.4,11.9,2.8,1.4,0.8,0.1,0.425,0.471,0.358,0.83,20,0.085
2003,NBA,1,11,GSW,Mickaël Piétrus,G-F,gp,,2004,2013,557,21.5,8.3,3.1,0.8,0.7,0.4,0.425,0.495,0.355,0.665,19.7,0.079
2009,NBA,1,23,SAC,Omri Casspi,F,il,,2010,2019,588,20.3,7.9,4,1.1,0.6,0.2,0.454,0.502,0.368,0.678,19.6,0.078
2005,NBA,2,50,BOS,Ryan Gomes,F,us,Providence College,2006,2014,487,27.6,10.1,4.6,1.5,0.7,0.2,0.445,0.473,0.349,0.799,19.4,0.069
2012,NBA,1,20,DEN,Evan Fournier,G-F,fr,,2013,2019,457,28,13.5,2.8,2.5,0.8,0.1,0.446,0.498,0.371,0.805,19.4,0.073
2012,NBA,1,14,MIL,John Henson,C-F,us,University of North Carolina,2013,2019,405,20.1,7.8,5.4,1.1,0.5,1.5,0.539,0.544,0.273,0.572,19.3,0.114
2001,NBA,2,40,SEA,Earl Watson,G,us,University of California Los Angeles,2002,2014,878,22.2,6.4,2.3,4.4,1,0.2,0.411,0.449,0.324,0.703,19.2,0.047
2005,NBA,2,37,LAL,Ronny Turiaf,F,mq,Gonzaga University,2006,2015,473,17,4.7,3.7,1.3,0.4,1.3,0.533,0.535,0,0.636,19.2,0.115
2005,NBA,2,49,WAS,Andray Blatche,F,us,,2006,2014,564,22.1,10.1,5.4,1.4,0.9,0.8,0.467,0.478,0.237,0.725,19.2,0.074
2007,NBA,1,26,HOU,Aaron Brooks,G,us,University of Oregon,2008,2018,645,20.8,9.7,1.7,3,0.6,0.1,0.413,0.442,0.37,0.837,19.2,0.069
2012,NBA,1,8,TOR,Terrence Ross,F-G,us,University of Washington,2013,2019,492,24.3,10.5,2.8,1.1,0.8,0.3,0.423,0.477,0.374,0.819,19.2,0.077
2012,NBA,1,15,PHI,Maurice Harkless,F-G,us,St. John's University,2013,2019,475,23.1,7.3,3.7,0.9,1,0.7,0.476,0.544,0.323,0.614,19.2,0.084
2015,NBA,2,32,HOU,Montrezl Harrell,F-C,us,University of Louisville,2016,2019,255,19.2,11.2,4.4,1.2,0.5,0.8,0.629,0.637,0.156,0.629,19.2,0.188
2009,NBA,2,37,SAS,DeJuan Blair,F-C,us,University of Pittsburgh,2010,2016,424,16.6,6.8,5.1,0.8,0.7,0.3,0.524,0.526,0,0.608,19,0.129
2006,NBA,1,1,TOR,Andrea Bargnani,F-C,it,,2007,2016,550,28.7,14.3,4.6,1.2,0.4,0.9,0.439,0.47,0.354,0.824,18.9,0.057
2008,NBA,2,31,MIN,Nikola Pekovi?,C,me,,2011,2016,271,24.9,12.6,6.7,0.7,0.5,0.6,0.518,0.518,,0.76,18.8,0.134
2007,NBA,1,16,WAS,Nick Young,G-F,us,University of Southern California,2008,2019,720,22.8,11.4,2,1,0.5,0.2,0.418,0.446,0.376,0.836,18.6,0.054
2007,NBA,2,35,SEA,Glen Davis,F-C,us,Louisiana State University,2008,2015,514,21.1,8,4.4,0.9,0.7,0.3,0.447,0.451,0.182,0.7,18.6,0.082
2008,NBA,1,11,IND,Jerryd Bayless,G,us,University of Arizona,2009,2019,586,21.3,8.4,2.1,2.9,0.6,0.1,0.411,0.436,0.361,0.818,18.6,0.072
2000,NBA,1,10,ORL,Keyon Dooling,G,us,University of Missouri,2001,2013,728,19.4,7,1.3,2.2,0.6,0.1,0.416,0.443,0.349,0.799,18.5,0.063
2007,NBA,2,37,POR,Josh McRoberts,F,us,Duke University,2008,2018,433,19.1,5.4,3.9,2.1,0.5,0.4,0.463,0.514,0.34,0.705,18.5,0.107
2005,NBA,1,18,BOS,Gerald Green,G-F,us,,2006,2019,658,19.8,9.7,2.5,0.9,0.5,0.3,0.417,0.469,0.361,0.818,18.4,0.068
2011,NBA,2,31,MIA,Bojan Bogdanovi?,G-F,ba,,2015,2019,399,27.8,13.3,3.4,1.4,0.6,0.1,0.463,0.52,0.389,0.846,18.4,0.08
2009,NBA,1,12,CHA,Gerald Henderson,G,us,Duke University,2010,2017,535,25.9,11.2,3.2,1.9,0.7,0.3,0.44,0.46,0.327,0.793,18.3,0.063
2005,NBA,1,23,SAC,Francisco García,F-G,do,University of Louisville,2006,2015,549,21.6,7.9,2.6,1.4,0.8,0.7,0.427,0.484,0.357,0.799,18.2,0.074
2014,NBA,2,39,PHI,Jerami Grant,F,us,Syracuse University,2015,2019,383,24.1,8.8,3.9,1,0.6,1.2,0.461,0.522,0.334,0.654,18.2,0.095
2014,NBA,1,4,ORL,Aaron Gordon,F,us,University of Arizona,2015,2019,341,27.9,12.5,6.2,2.2,0.8,0.6,0.45,0.512,0.321,0.707,18,0.091
2009,NBA,1,28,MIN,Wayne Ellington,G,us,University of North Carolina,2010,2019,645,21.3,8.2,2.2,1.1,0.6,0.1,0.41,0.447,0.379,0.846,17.8,0.062
2014,NBA,1,7,LAL,Julius Randle,F-C,us,University of Kentucky,2015,2019,311,28.5,15.4,8.9,2.7,0.6,0.5,0.502,0.523,0.307,0.722,17.8,0.096
2016,NBA,1,1,PHI,Ben Simmons,G-F,au,Louisiana State University,2018,2019,160,34,16.4,8.5,7.9,1.6,0.8,0.554,0.558,0,0.583,17.5,0.154
2015,NBA,1,6,SAC,Willie Cauley-Stein,F-C,us,University of Kentucky,2016,2019,295,24,10.1,6.4,1.6,0.9,0.8,0.534,0.536,0.222,0.611,17.4,0.118
2001,NBA,1,27,MEM,Jamaal Tinsley,G,us,Iowa State University,2002,2014,547,26.4,8.5,2.9,6.1,1.4,0.3,0.393,0.432,0.299,0.716,17.2,0.057
2012,NBA,1,17,DAL,Tyler Zeller,F-C,us,University of North Carolina,2013,2019,412,17.6,7,4.4,0.9,0.3,0.6,0.509,0.512,0.286,0.764,17.1,0.113
2003,NBA,1,8,MIL,T.J. Ford,G,us,University of Texas at Austin,2004,2012,429,27.7,11.2,3.1,5.8,1.2,0.1,0.433,0.45,0.289,0.815,16.9,0.068
2012,NBA,2,49,ORL,Kyle O'Quinn,F-C,us,Norfolk State University,2013,2019,443,14.4,5.6,4.6,1.3,0.4,1,0.518,0.537,0.209,0.748,16.8,0.126
2014,NBA,1,3,PHI,Joel Embiid,C,cm,University of Kansas,2017,2019,158,30.7,24.3,11.4,3.2,0.7,2,0.481,0.526,0.315,0.788,16.8,0.166
2010,NBA,2,40,IND,Lance Stephenson,G-F,us,University of Cincinnati,2011,2019,508,23.4,8.6,4.2,2.9,0.7,0.1,0.444,0.494,0.315,0.685,16.7,0.068
2013,NBA,1,6,NOH,Nerlens Noel,C-F,us,University of Kentucky,2015,2019,300,22.8,8.2,6.5,1.2,1.4,1.4,0.523,0.523,0.25,0.631,16.6,0.117
2002,NBA,1,14,IND,Fred Jones,G-F,us,University of Oregon,2003,2009,430,24,7.5,2.2,2.3,0.8,0.3,0.411,0.445,0.353,0.809,16.5,0.077
2003,NBA,1,23,POR,Travis Outlaw,F,us,,2004,2014,622,20.9,8.5,3.2,0.8,0.5,0.6,0.423,0.447,0.337,0.744,16.5,0.061
2009,NBA,1,8,NYK,Jordan Hill,C-F,us,University of Arizona,2010,2017,409,18.8,7.9,5.8,0.8,0.4,0.7,0.497,0.499,0.136,0.699,16.4,0.102
2012,NBA,2,40,POR,Will Barton,G,us,University of Memphis,2013,2019,438,23.3,10.5,3.9,2.4,0.7,0.4,0.431,0.478,0.341,0.788,16.4,0.077
2014,NBA,1,16,CHI,Jusuf Nurki?,C,ba,,2015,2019,310,22.9,11.6,8,1.9,0.8,1.3,0.491,0.498,0.071,0.666,16.4,0.111
2015,NBA,1,27,LAL,Larry Nance,F-C,us,University of Wyoming,2016,2019,259,22.9,7.7,6.5,1.7,1.3,0.5,0.539,0.566,0.295,0.698,16.4,0.133
2014,NBA,1,6,BOS,Marcus Smart,G,us,Oklahoma State University,2015,2019,341,28.4,9.3,3.5,3.9,1.6,0.4,0.372,0.436,0.31,0.764,16.2,0.08
2004,NBA,1,27,LAL,Sasha Vuja?i?,G,si,,2005,2017,581,15.3,5.3,1.9,1.3,0.6,0.1,0.39,0.415,0.367,0.858,16,0.086
2006,NBA,2,36,MIN,Craig Smith,F,us,Boston College,2007,2012,403,16.9,7.6,3.9,0.8,0.5,0.2,0.553,0.56,0.037,0.661,16,0.113
2006,NBA,2,42,CLE,Daniel Gibson,G,us,University of Texas at Austin,2007,2013,397,23.5,7.8,2,2,0.6,0.2,0.402,0.397,0.407,0.78,16,0.082
2014,NBA,1,19,CHI,Gary Harris,G,us,Michigan State University,2015,2019,312,28.5,12.4,2.6,2.1,1.2,0.2,0.46,0.525,0.365,0.802,16,0.086
2014,NBA,1,23,UTA,Rodney Hood,G-F,us,Duke University,2015,2019,320,27.2,12.6,2.8,1.9,0.8,0.2,0.422,0.465,0.367,0.841,16,0.088
2002,NBA,2,50,BOS,Darius Songaila,F,lt,Wake Forest University,2004,2011,495,18.6,6.9,3.4,1.2,0.7,0.2,0.499,0.501,0.158,0.844,15.9,0.083
2002,NBA,2,34,MIL,Dan Gadzuric,C,nl,University of California Los Angeles,2003,2012,527,14.8,4.7,4.4,0.4,0.5,0.9,0.5,0.501,0,0.498,15.8,0.097
2001,NBA,2,53,UTA,Jarron Collins,F-C,us,Stanford University,2002,2011,542,15.8,3.9,2.9,0.8,0.3,0.2,0.455,0.456,0,0.699,15.7,0.088
2015,NBA,2,40,MIA,Josh Richardson,G,us,University of Tennessee,2016,2019,259,30.7,12.1,3.2,2.9,1.1,0.7,0.425,0.467,0.368,0.821,15.7,0.095
2008,NBA,1,2,MIA,Michael Beasley,F,us,Kansas State University,2009,2019,609,22.8,12.4,4.7,1.3,0.6,0.5,0.465,0.481,0.349,0.759,15.6,0.054
2013,NBA,1,5,PHO,Alex Len,C,ua,University of Maryland,2014,2019,412,19.9,7.9,6.3,0.8,0.4,1,0.487,0.501,0.349,0.695,15.6,0.091
2016,NBA,1,27,TOR,Pascal Siakam,F,cm,New Mexico State University,2017,2019,216,23.5,10.1,5.1,2,0.7,0.6,0.531,0.592,0.309,0.743,15.5,0.146
2000,NBA,2,44,DET,Brian Cardinal,F,us,Purdue University,2001,2012,456,14.2,4.6,2.3,1,0.6,0.2,0.408,0.432,0.372,0.861,15.4,0.114
2014,NBA,1,30,SAS,Kyle Anderson,F-G,us,University of California Los Angeles,2015,2019,300,19.6,5.3,3.9,1.9,1,0.5,0.492,0.519,0.324,0.706,15.4,0.125
2012,NBA,1,21,BOS,Jared Sullinger,F,us,Ohio State University,2013,2017,269,24.3,10.8,7.5,1.8,0.7,0.6,0.436,0.476,0.272,0.723,15.3,0.113
2013,NBA,1,24,NYK,Tim Hardaway,G,us,University of Michigan,2014,2019,403,26.1,13.1,2.6,1.8,0.6,0.2,0.418,0.489,0.343,0.816,15.1,0.069
2000,NBA,1,12,DAL,Etan Thomas,F,us,Syracuse University,2002,2011,409,17.3,5.7,4.7,0.4,0.3,1,0.513,0.513,,0.603,14.9,0.101
2005,NBA,1,24,HOU,Luther Head,G,us,University of Illinois at Urbana-Champaign,2006,2011,348,22.4,8.2,2.4,2.1,0.7,0.1,0.423,0.454,0.388,0.773,14.7,0.09
2012,NBA,1,18,HOU,Terrence Jones,F,us,University of Kentucky,2013,2019,234,23.8,10.4,5.7,1,0.6,1.2,0.501,0.539,0.297,0.621,14.7,0.127
2010,NBA,1,19,BOS,Avery Bradley,G,us,University of Texas at Austin,2011,2019,522,28.7,12,3,1.8,1,0.2,0.436,0.47,0.364,0.778,14.6,0.047
2006,NBA,2,32,HOU,Steve Novak,F,us,Marquette University,2007,2017,467,12.1,4.7,1.3,0.3,0.2,0.1,0.437,0.463,0.43,0.877,14.5,0.123
